method,explorer_batch,trajectory_count,model_version_mean,matched_done_reward,audited_task_success,matched_done_reward_smooth,matched_done_reward_cumulative,audited_task_success_smooth,audited_task_success_cumulative
Vanilla OPD,1,16,0.0,0.0625,,0.0875,0.0625,,
Vanilla OPD,2,16,0.0,0.0625,,0.09375,0.0625,,
Vanilla OPD,3,16,2.0,0.125,,0.08035714285714286,0.08333333333333333,,
Vanilla OPD,4,16,3.0,0.125,,0.0859375,0.09375,,
Vanilla OPD,5,16,5.0,0.0625,,0.09722222222222222,0.0875,,
Vanilla OPD,6,16,6.0,0.125,,0.1111111111111111,0.09375,,
Vanilla OPD,7,16,8.0,0.0,,0.1111111111111111,0.08035714285714286,,
Vanilla OPD,8,16,9.0,0.125,,0.10416666666666667,0.0859375,,
Vanilla OPD,9,16,11.0,0.1875,,0.09722222222222222,0.09722222222222222,,
Vanilla OPD,10,16,12.0,0.1875,,0.09027777777777778,0.10625,,
Vanilla OPD,11,16,14.0,0.0625,,0.08333333333333333,0.10227272727272728,,
Vanilla OPD,12,16,15.0,0.0625,,0.1111111111111111,0.09895833333333333,,
Vanilla OPD,13,16,17.0,0.0625,,0.11805555555555555,0.09615384615384616,,
Vanilla OPD,14,16,18.0,0.0,,0.1111111111111111,0.08928571428571429,,
Vanilla OPD,15,16,20.0,0.0625,,0.10416666666666667,0.0875,,
Vanilla OPD,16,16,21.0,0.25,,0.1388888888888889,0.09765625,,
Vanilla OPD,17,16,23.0,0.1875,,0.16666666666666666,0.10294117647058823,,
Vanilla OPD,18,16,24.0,0.125,,0.2013888888888889,0.10416666666666667,,
Vanilla OPD,19,16,26.0,0.125,,0.2361111111111111,0.10526315789473684,,
Vanilla OPD,20,16,27.0,0.375,,0.2638888888888889,0.11875,,
Vanilla OPD,21,16,29.0,0.3125,,0.2777777777777778,0.12797619047619047,,
Vanilla OPD,22,16,30.0,0.375,,0.2986111111111111,0.13920454545454544,,
Vanilla OPD,23,16,32.0,0.3125,,0.3194444444444444,0.14673913043478262,,
Vanilla OPD,24,16,33.0,0.3125,,0.3263888888888889,0.15364583333333334,,
Vanilla OPD,25,16,35.0,0.375,,0.3263888888888889,0.1625,,
Vanilla OPD,26,16,36.0,0.375,,0.3333333333333333,0.17067307692307693,,
Vanilla OPD,27,16,38.0,0.3125,,0.3263888888888889,0.17592592592592593,,
Vanilla OPD,28,16,39.0,0.1875,,0.3402777777777778,0.17633928571428573,,
Vanilla OPD,29,16,41.0,0.375,,0.3541666666666667,0.18318965517241378,,
Vanilla OPD,30,16,42.0,0.375,,0.3819444444444444,0.18958333333333333,,
Vanilla OPD,31,16,44.0,0.3125,,0.3888888888888889,0.1935483870967742,,
Vanilla OPD,32,16,44.0,0.4375,,0.3958333333333333,0.201171875,,
Vanilla OPD,33,16,46.0,0.4375,,0.4027777777777778,0.20833333333333334,,
Vanilla OPD,34,16,47.0,0.625,,0.3958333333333333,0.22058823529411764,,
Vanilla OPD,35,16,49.0,0.4375,,0.3958333333333333,0.22678571428571428,,
Vanilla OPD,36,16,50.0,0.375,,0.3888888888888889,0.2309027777777778,,
Vanilla OPD,37,16,52.0,0.25,,0.3819444444444444,0.23141891891891891,,
Vanilla OPD,38,16,53.0,0.3125,,0.375,0.23355263157894737,,
Vanilla OPD,39,16,55.0,0.375,,0.3541666666666667,0.23717948717948717,,
Vanilla OPD,40,16,56.0,0.25,,0.3472222222222222,0.2375,,
Vanilla OPD,41,16,58.0,0.375,,0.3680555555555556,0.24085365853658536,,
Vanilla OPD,42,16,59.0,0.375,,0.375,0.24404761904761904,,
Vanilla OPD,43,16,61.0,0.4375,,0.375,0.24854651162790697,,
Vanilla OPD,44,16,62.0,0.375,,0.3611111111111111,0.25142045454545453,,
Vanilla OPD,45,16,64.0,0.5625,,0.3819444444444444,0.25833333333333336,,
Vanilla OPD,46,16,65.0,0.3125,,0.375,0.2595108695652174,,
Vanilla OPD,47,16,67.0,0.3125,,0.4027777777777778,0.26063829787234044,,
Vanilla OPD,48,16,68.0,0.25,,0.4236111111111111,0.2604166666666667,,
Vanilla OPD,49,16,70.0,0.4375,,0.4305555555555556,0.26403061224489793,,
Vanilla OPD,50,16,71.0,0.3125,,0.4027777777777778,0.265,,
Vanilla OPD,51,16,73.0,0.625,,0.4166666666666667,0.27205882352941174,,
Vanilla OPD,52,16,74.0,0.625,,0.4375,0.27884615384615385,,
Vanilla OPD,53,16,76.0,0.4375,,0.4791666666666667,0.2818396226415094,,
Vanilla OPD,54,16,77.0,0.3125,,0.4791666666666667,0.2824074074074074,,
Vanilla OPD,55,16,79.0,0.4375,,0.4930555555555556,0.2852272727272727,,
Vanilla OPD,56,16,80.0,0.5,,0.4513888888888889,0.2890625,,
Vanilla OPD,57,16,82.0,0.625,,0.4513888888888889,0.2949561403508772,,
Vanilla OPD,58,16,83.0,0.4375,,0.4513888888888889,0.2974137931034483,,
Vanilla OPD,59,16,85.0,0.4375,,0.4791666666666667,0.2997881355932203,,
